Season,Team,points,Cost per Point,predicted_points
2011-2012,Sevilla,50,2.66,49.54310585355973
2011-2012,Malaga,58,2.0913793103448275,48.79404332578303
2011-2012,Espanol,46,1.7652173913043478,46.22674355109535
2011-2012,Sociedad,47,1.5893617021276596,45.81059770233052
2011-2012,Getafe,47,1.5095744680851064,45.570513558812344
2011-2012,Mallorca,52,1.1961538461538461,45.0103172239366
2011-2012,Zaragoza,43,1.4186046511627908,44.93349029801079
2011-2012,Granada,42,1.4428571428571428,44.90788132270218
2011-2012,Sp Gijon,37,1.4432432432432432,44.446919767147286
2011-2012,Betis,47,1.1212765957446809,44.40210406035723
2011-2012,Vallecano,43,1.0999999999999999,44.05638289369106
2011-2012,Osasuna,54,0.8222222222222222,43.87071782270367
2011-2012,Racing,27,1.5777777777777777,43.755477433814946
2011-2012,Levante,55,0.7318181818181818,43.60502470387689
2012-2013,Barcelona,100,5.8660000000000005,78.58368385351808
2012-2013,Real Madrid,85,6.851764705882353,78.31478961277773
2012-2013,Ath Madrid,76,3.513157894736842,58.12211258194249
2012-2013,Valencia,65,2.66,52.097601140593106
2012-2013,Sevilla,50,2.8960000000000004,50.298570625163585
2012-2013,Malaga,57,2.1561403508771932,48.89647922701745
2012-2013,Ath Bilbao,45,2.663333333333333,48.70121079028933
2012-2013,Sociedad,66,1.7121212121212122,48.26265708812947
2012-2013,Granada,42,1.7333333333333332,45.68895506961464
2012-2013,Getafe,47,1.4531914893617022,45.40085409739283
2012-2013,Betis,56,1.1821428571428572,45.266406977022655
2012-2013,Espanol,44,1.4568181818181818,45.13195985665248
2012-2013,Vallecano,53,0.9386792452830188,44.213237867456264
2012-2013,Celta,37,1.327027027027027,44.17162328257978
2012-2013,Mallorca,36,1.3083333333333333,44.04357840603676
2012-2013,Zaragoza,34,1.3764705882352941,44.0243716745553
2012-2013,Osasuna,39,1.1897435897435897,43.9987626992467
2012-2013,La Coruna,35,1.302857142857143,43.94754474862948
2012-2013,Levante,46,0.8934782608695653,43.65944377640768
2012-2013,Valladolid,43,0.9023255813953488,43.512192168383194
2013-2014,Real Madrid,87,7.319540229885057,81.79761025474804
2013-2014,Barcelona,87,6.806896551724138,78.94220950783856
2013-2014,Ath Madrid,90,3.4311111111111114,60.79825050169174
2013-2014,Valencia,49,3.648979591836735,52.47533352639503
2013-2014,Sevilla,63,2.2404761904761905,50.064888725472564
2013-2014,Sociedad,59,2.3169491525423727,49.77998887516433
2013-2014,Ath Bilbao,70,1.867142857142857,49.39585424553525
2013-2014,Villarreal,59,1.3101694915254236,45.97705604183645
2013-2014,Malaga,45,1.3888888888888888,45.02952395541806
2013-2014,Betis,25,2.344,44.77983644615915
2013-2014,Granada,41,1.401951219512195,44.70813131529506
2013-2014,Getafe,42,1.3309523809523809,44.60697586282607
2013-2014,Espanol,42,1.2214285714285713,44.31247264677711
2013-2014,Celta,49,1.0183673469387755,44.22284123319699
2013-2014,Vallecano,43,1.072093023255814,43.97955596776524
2013-2014,Elche,40,1.115,43.883522310357975
2013-2014,Levante,48,0.8833333333333333,43.742672946160646
2013-2014,Osasuna,39,1.0846153846153845,43.73627070233349
2013-2014,Valladolid,36,1.1444444444444446,43.665846020234824
2013-2014,Almeria,40,0.9112500000000001,43.36173943844514
2014-2015,Real Madrid,92,8.57391304347826,91.52902087201804
2014-2015,Barcelona,94,6.423404255319149,79.6848697917881
2014-2015,Ath Madrid,78,4.564102564102564,63.82010958810716
2014-2015,Valencia,77,2.987012987012987,55.7532823658965
2014-2015,Sevilla,76,2.1940789473684212,51.703863145223295
2014-2015,Ath Bilbao,55,2.038181818181818,48.205036893685104
2014-2015,Sociedad,46,2.1043478260869564,47.22549358813096
2014-2015,Espanol,49,1.5448979591836736,45.87462014060203
2014-2015,Villarreal,60,2.2116666666666664,49.52389912207828
2014-2015,Getafe,37,1.3567567567567569,44.24204796467845
2014-2015,Malaga ,50,1.656,46.329179452329775
2014-2015,Celta,51,1.184313725490196,44.89507683504788
2014-2015,Granada,35,1.93,45.3528372686892
2014-2015,Levante,37,1.1743243243243244,43.80989650634573
2014-2015,Almeria,29,1.3206896551724137,43.48018094924744
2014-2015,Cordoba,20,2.545,44.2868636714685
2014-2015,La Coruna,35,1.54,44.478930986283046
2014-2015,Eibar,35,0.84,42.91038124863097
2014-2015,Vallecano,49,1.0551020408163265,44.33808162208572
2014-2015,Elche,41,0.9414634146341464,43.499387680728894
2015-2016,Real Madrid,90,8.066666666666666,87.50841174856701
2015-2016,Barcelona,91,7.849450549450549,86.75934922079031
2015-2016,Ath Madrid,88,4.755681818181818,67.82151198007674
2015-2016,Valencia,44,5.7727272727272725,57.28982088441282
2015-2016,Sevilla,52,4.428846153846154,55.77248909737796
2015-2016,Villarreal,64,2.196875,50.02967638442323
2015-2016,Sociedad,48,2.4875000000000003,48.672400693067154
2015-2016,Ath Bilbao,62,2.3870967741935485,50.50344242763243
2015-2016,Betis,45,1.2533333333333334,44.63898708196183
2015-2016,Espanol,43,1.4465116279069767,45.0103172239366
2015-2016,Malaga,48,1.6239583333333334,46.01867062671293
2015-2016,Levante,32,1.659375,44.42771303566583
2015-2016,Granada,39,1.8333333333333333,45.605725899861675
2015-2016,Celta,60,1.5183333333333333,46.86056568998333
2015-2016,Vallecano,38,1.305263157894737,44.203634501715534
2015-2016,Getafe,36,1.363888888888889,44.17162328257978
2015-2016,Eibar,43,1.3162790697674418,44.65179156961613
2015-2016,Las Palmas,44,0.7318181818181819,43.089644075791206
2015-2016,La Coruna,42,1.4702380952380953,44.98150712671442
2015-2016,Sp Gijon,39,1.3641025641025641,44.434115279492985
2016-2017,Real Madrid,93,8.633333333333333,92.43173725164637
2016-2017,Barcelona,90,8.503333333333332,90.02449357263748
2016-2017,Ath Madrid,78,6.612820512820512,74.05089522389494
2016-2017,Sevilla,72,3.751388888888889,58.32058214058418
2016-2017,Villarreal,67,2.846268656716418,53.23720054182604
2016-2017,Sociedad,64,2.44453125,51.044432031026716
2016-2017,Ath Bilbao,63,2.7396825396825397,52.07839440911165
2016-2017,Espanol,56,1.4428571428571428,46.201134575786746
2016-2017,Alaves,55,1.5527272727272727,46.495637791835705
2016-2017,Eibar,54,1.2583333333333333,45.3784462439978
2016-2017,Malaga ,46,1.8326086956521739,46.425213109737044
2016-2017,Valencia,46,5.5978260869565215,57.51389941836311
2016-2017,Celta,45,2.72,48.86446800788169
2016-2017,Las Palmas,39,2.1615384615384614,46.425213109737044
2016-2017,Betis,39,2.158974358974359,46.41881086590989
2016-2017,La Coruna,36,2.611111111111111,47.04623076097072
2016-2017,Leganes,35,1.5185714285714285,44.43091415757941
2016-2017,Sp Gijon,31,1.5080645161290323,44.02117055264173
2016-2017,Osasuna,22,1.95,43.7746841652964
2016-2017,Granada,20,3.3225000000000002,45.28241258659053
2017-2018,Barcelona,93,11.720430107526882,110.8125792793978
2017-2018,Real Madrid,76,12.570394736842106,102.19195796613855
2017-2018,Ath Madrid,79,9.001898734177216,86.55767854023503
2017-2018,Valencia,73,5.4527397260273975,66.51225311742428
2017-2018,Sevilla,58,4.36551724137931,57.238602933795605
2017-2018,Ath Bilbao,43,5.8,56.99531766836386
2017-2018,Sociedad,49,4.754081632653061,55.94214855879747
2017-2018,Villarreal,61,3.6065573770491803,55.11305798318137
2017-2018,Celta,49,3.5316326530612248,52.10720450633383
2017-2018,Betis,60,2.2041666666666666,49.4950890248561
2017-2018,Espanol,49,1.9959183673469387,47.28951602640247
2017-2018,Las Palmas,22,4.1477272727272725,46.87016905572406
2017-2018,Girona,51,1.6029411764705883,46.261955892144684
2017-2018,Alaves,47,1.5914893617021275,45.816999946157665
2017-2018,La Coruna,29,2.2913793103448277,45.28241258659053
2017-2018,Getafe,55,1.1927272727272726,45.22799351405975
2017-2018,Levante,46,1.3445652173913043,44.98790937054157
2017-2018,Eibar,51,1.177450980392157,44.87266898165285
2017-2018,Leganes,43,1.361627906976744,44.77663532424558
2017-2018,Malaga,20,2.7600000000000002,44.56216015603601
2018-2019,Barcelona,87,13.333333333333334,115.2941499584037
2018-2019,Real Madrid,68,13.177941176470588,98.3986284985514
2018-2019,Ath Madrid,76,12.75921052631579,103.11067995533476
2018-2019,Valencia,61,8.190983606557376,73.01693284581002
2018-2019,Sevilla,59,5.191525423728813,60.63819440601296
2018-2019,Villarreal,44,5.242045454545455,55.79489695077299
2018-2019,Betis,50,5.815,59.64264549089093
2018-2019,Ath Bilbao,53,4.419811320754717,56.02537772855044
2018-2019,Sociedad,50,6.019,60.29567436126036
2018-2019,Espanol,53,3.2962264150943392,52.21284152948183
2018-2019,Leganes,45,2.498888888888889,48.227444747080135
2018-2019,Levante,44,2.4511363636363637,47.932941531031176
2018-2019,Celta,41,5.709756097560976,56.01577436280971
2018-2019,Eibar,47,1.997872340425532,47.03982851714357
2018-2019,Getafe,59,2.240677966101695,49.49188790294252
2018-2019,Alaves,50,2.2159999999999997,48.121807723932136
2018-2019,Girona,37,2.6283783783783785,47.254303685353136
2018-2019,Vallecano,32,2.709375,46.57886696158867
2018-2019,Huesca,33,1.8606060606060606,44.959099273319396
2018-2019,Valladolid,41,2.024390243902439,46.341983939984075
