Season,Team,Budget,position,points,Cost per Point,Cost per Position
2010-2011,Sociedad,66.7,15,45,1.4822222222222223,4.446666666666667
2010-2011,Getafe,66.4,16,44,1.5090909090909093,4.15
2010-2011,La Coruna,63.7,18,43,1.4813953488372094,3.538888888888889
2010-2011,Racing,59.3,12,46,1.2891304347826087,4.941666666666666
2010-2011,Osasuna,57.9,9,47,1.2319148936170212,6.433333333333334
2010-2011,Zaragoza,57.0,13,45,1.2666666666666666,4.384615384615385
2010-2011,Mallorca,53.7,17,44,1.2204545454545455,3.158823529411765
2010-2011,Sp Gijon,53.4,10,47,1.1361702127659574,5.34
2010-2011,Hercules,51.7,19,35,1.4771428571428573,2.7210526315789476
2010-2011,Levante,37.6,14,45,0.8355555555555556,2.685714285714286
2011-2012,Barcelona,618.2,2,91,6.793406593406594,309.1
2011-2012,Real Madrid,539.2,1,100,5.392,539.2
2011-2012,Ath Madrid,210.0,5,56,3.75,42.0
2011-2012,Valencia,181.0,3,61,2.9672131147540983,60.333333333333336
2011-2012,Ath Bilbao,144.2,10,49,2.9428571428571426,14.419999999999998
2011-2012,Villarreal,137.0,18,41,3.341463414634146,7.611111111111111
2011-2012,Sevilla,133.0,9,50,2.66,14.777777777777779
2011-2012,Malaga,121.3,4,58,2.0913793103448275,30.325
2011-2012,Espanol,81.2,14,46,1.7652173913043478,5.8
2011-2012,Sociedad,74.7,12,47,1.5893617021276596,6.2250000000000005
2011-2012,Getafe,70.95,11,47,1.5095744680851064,6.45
2011-2012,Mallorca,62.2,8,52,1.1961538461538461,7.775
2011-2012,Zaragoza,61.0,16,43,1.4186046511627908,3.8125
2011-2012,Granada,60.6,17,42,1.4428571428571428,3.5647058823529414
2011-2012,Sp Gijon,53.4,19,37,1.4432432432432432,2.8105263157894735
2011-2012,Betis,52.7,13,47,1.1212765957446809,4.053846153846154
2011-2012,Vallecano,47.3,15,43,1.0999999999999999,3.1533333333333333
2011-2012,Osasuna,44.4,7,54,0.8222222222222222,6.3428571428571425
2011-2012,Racing,42.6,20,27,1.5777777777777777,2.13
2011-2012,Levante,40.25,6,55,0.7318181818181818,6.708333333333333
